2020-03-31 04:00:59.086 GMT [5592] ���������:  ������� �� ���� ���������: 2020-03-30 13:07:56 GMT
2020-03-31 04:00:59.101 GMT [7996] ���������:  ������� �� ������ ��������� �����������
2020-03-31 04:22:47.670 GMT [7028] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 04:22:47.670 GMT [7028] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-03-31 04:23:19.938 GMT [488] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 04:23:19.939 GMT [488] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-03-31 04:23:55.544 GMT [5292] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 04:23:55.544 GMT [5292] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-03-31 04:23:58.448 GMT [9580] ОШИБКА:  INSERT или UPDATE в таблице "interpretation_group_think_ranges" нарушает ограничение внешнего ключа "interpretation_group_think_ranges_think_id_fkey"
2020-03-31 04:23:58.448 GMT [9580] ПОДРОБНОСТИ:  Ключ (think_id)=(2) отсутствует в таблице "interpretation_group_thinks".
2020-03-31 04:23:58.448 GMT [9580] ОПЕРАТОР:  INSERT INTO public.interpretation_group_think_ranges (interpretation_group_id, think_id, min, max) VALUES (81, 2, 0, 2) RETURNING public.interpretation_group_think_ranges.id
2020-03-31 04:35:37.522 GMT [9580] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 04:35:37.525 GMT [1108] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 04:53:30.518 GMT [11244] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 04:56:28.914 GMT [9180] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 04:58:38.847 GMT [14000] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 04:58:38.847 GMT [14000] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-03-31 05:01:12.178 GMT [7588] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 05:01:12.179 GMT [7588] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-03-31 05:02:40.979 GMT [9996] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 05:02:40.979 GMT [9996] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-03-31 05:02:58.856 GMT [11936] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 05:06:19.174 GMT [11792] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 05:06:19.174 GMT [11792] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-03-31 05:07:24.627 GMT [13400] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 05:10:31.229 GMT [10696] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 05:10:31.230 GMT [10696] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-03-31 05:10:58.450 GMT [5892] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 05:22:00.252 GMT [3408] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 05:22:00.252 GMT [3408] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-03-31 05:22:15.883 GMT [8788] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 05:22:15.883 GMT [8788] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-03-31 05:22:31.365 GMT [5332] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 05:24:36.012 GMT [5156] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 05:25:11.903 GMT [7316] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 05:25:11.903 GMT [9624] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 05:25:11.903 GMT [7316] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-03-31 05:25:11.903 GMT [9624] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-03-31 05:25:53.676 GMT [152] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 05:25:53.677 GMT [152] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-03-31 05:26:10.870 GMT [4988] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 05:26:10.870 GMT [4988] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-03-31 05:27:48.093 GMT [4828] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 05:27:48.093 GMT [4828] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-03-31 05:28:48.080 GMT [11960] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 05:28:48.080 GMT [11960] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-03-31 05:30:49.555 GMT [436] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 05:30:49.555 GMT [436] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-03-31 05:32:16.796 GMT [3384] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 05:34:19.320 GMT [5944] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 05:35:05.281 GMT [4760] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 05:35:26.854 GMT [10696] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 05:35:45.792 GMT [5276] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 05:35:55.033 GMT [10516] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 05:35:55.033 GMT [13588] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 05:35:55.033 GMT [12964] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 05:36:05.724 GMT [4376] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 05:38:38.971 GMT [13720] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 05:38:38.971 GMT [13720] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-03-31 05:38:56.267 GMT [10976] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 05:38:56.268 GMT [5308] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 05:38:56.268 GMT [10976] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-03-31 05:38:56.268 GMT [5308] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-03-31 05:39:38.655 GMT [10080] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 05:39:38.655 GMT [3016] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 05:39:38.655 GMT [10080] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-03-31 05:39:38.655 GMT [3016] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-03-31 05:39:38.656 GMT [13820] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 05:39:38.656 GMT [13820] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-03-31 05:40:02.465 GMT [9224] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 05:40:02.465 GMT [3680] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 05:40:02.465 GMT [12456] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 05:40:02.466 GMT [9224] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-03-31 05:40:02.466 GMT [3680] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-03-31 05:40:02.466 GMT [12456] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-03-31 05:40:46.957 GMT [2108] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 05:40:46.958 GMT [2108] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-03-31 05:42:15.300 GMT [12868] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 05:42:56.996 GMT [5100] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 05:43:41.008 GMT [10420] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 05:43:41.008 GMT [10420] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-03-31 05:45:03.574 GMT [7604] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 05:45:03.574 GMT [7604] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-03-31 05:46:38.523 GMT [14164] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 05:46:38.524 GMT [14164] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-03-31 05:48:19.320 GMT [11920] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 05:48:19.320 GMT [11920] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
2020-03-31 05:50:14.734 GMT [14984] СООБЩЕНИЕ:  не удалось получить данные от клиента: An existing connection was forcibly closed by the remote host.
	
2020-03-31 05:50:14.734 GMT [14984] СООБЩЕНИЕ:  неожиданный обрыв соединения с клиентом при открытой транзакции
