2020-04-21 04:11:43.016 GMT [3908] СООБЩЕНИЕ:  работа системы БД была прервана; последний момент работы: 2020-04-20 10:38:18 GMT
2020-04-21 04:11:43.508 GMT [3908] СООБЩЕНИЕ:  система БД была остановлена нештатно; производится автоматическое восстановление
2020-04-21 04:11:43.511 GMT [3908] СООБЩЕНИЕ:  запись REDO начинается со смещения 0/3721270
2020-04-21 04:11:43.511 GMT [3908] СООБЩЕНИЕ:  неверная длина записи по смещению 0/3721358: ожидалось 24, получено 0
2020-04-21 04:11:43.511 GMT [3908] СООБЩЕНИЕ:  записи REDO обработаны до смещения 0/3721320
2020-04-21 04:11:43.533 GMT [3668] СООБЩЕНИЕ:  система БД готова принимать подключения
2020-04-21 04:43:56.779 GMT [424] РћРЁРР‘РљРђ:  INSERT РёР»Рё UPDATE РІ С‚Р°Р±Р»РёС†Рµ "tubes" РЅР°СЂСѓС€Р°РµС‚ РѕРіСЂР°РЅРёС‡РµРЅРёРµ РІРЅРµС€РЅРµРіРѕ РєР»СЋС‡Р° "tubes_house_id_fkey"
2020-04-21 04:43:56.779 GMT [424] РџРћР”Р РћР‘РќРћРЎРўР:  РљР»СЋС‡ (house_id)=(12) РѕС‚СЃСѓС‚СЃС‚РІСѓРµС‚ РІ С‚Р°Р±Р»РёС†Рµ "houses".
2020-04-21 04:43:56.779 GMT [424] РћРџР•Р РђРўРћР :  INSERT INTO public.tubes (depth, house_id, value) VALUES (12.0, 12, 'Р–Рџ-1/2') RETURNING public.tubes.id
2020-04-21 04:43:57.725 GMT [424] РћРЁРР‘РљРђ:  INSERT РёР»Рё UPDATE РІ С‚Р°Р±Р»РёС†Рµ "tubes" РЅР°СЂСѓС€Р°РµС‚ РѕРіСЂР°РЅРёС‡РµРЅРёРµ РІРЅРµС€РЅРµРіРѕ РєР»СЋС‡Р° "tubes_house_id_fkey"
2020-04-21 04:43:57.725 GMT [424] РџРћР”Р РћР‘РќРћРЎРўР:  РљР»СЋС‡ (house_id)=(12) РѕС‚СЃСѓС‚СЃС‚РІСѓРµС‚ РІ С‚Р°Р±Р»РёС†Рµ "houses".
2020-04-21 04:43:57.725 GMT [424] РћРџР•Р РђРўРћР :  INSERT INTO public.tubes (depth, house_id, value) VALUES (12.0, 12, 'Р–Рџ-1/2') RETURNING public.tubes.id
2020-04-21 04:43:58.088 GMT [424] РћРЁРР‘РљРђ:  INSERT РёР»Рё UPDATE РІ С‚Р°Р±Р»РёС†Рµ "tubes" РЅР°СЂСѓС€Р°РµС‚ РѕРіСЂР°РЅРёС‡РµРЅРёРµ РІРЅРµС€РЅРµРіРѕ РєР»СЋС‡Р° "tubes_house_id_fkey"
2020-04-21 04:43:58.088 GMT [424] РџРћР”Р РћР‘РќРћРЎРўР:  РљР»СЋС‡ (house_id)=(12) РѕС‚СЃСѓС‚СЃС‚РІСѓРµС‚ РІ С‚Р°Р±Р»РёС†Рµ "houses".
2020-04-21 04:43:58.088 GMT [424] РћРџР•Р РђРўРћР :  INSERT INTO public.tubes (depth, house_id, value) VALUES (12.0, 12, 'Р–Рџ-1/2') RETURNING public.tubes.id
2020-04-21 04:43:58.435 GMT [424] РћРЁРР‘РљРђ:  INSERT РёР»Рё UPDATE РІ С‚Р°Р±Р»РёС†Рµ "tubes" РЅР°СЂСѓС€Р°РµС‚ РѕРіСЂР°РЅРёС‡РµРЅРёРµ РІРЅРµС€РЅРµРіРѕ РєР»СЋС‡Р° "tubes_house_id_fkey"
2020-04-21 04:43:58.435 GMT [424] РџРћР”Р РћР‘РќРћРЎРўР:  РљР»СЋС‡ (house_id)=(12) РѕС‚СЃСѓС‚СЃС‚РІСѓРµС‚ РІ С‚Р°Р±Р»РёС†Рµ "houses".
2020-04-21 04:43:58.435 GMT [424] РћРџР•Р РђРўРћР :  INSERT INTO public.tubes (depth, house_id, value) VALUES (12.0, 12, 'Р–Рџ-1/2') RETURNING public.tubes.id
2020-04-21 04:46:02.025 GMT [424] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2020-04-21 04:49:20.214 GMT [5276] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2020-04-21 05:21:46.033 GMT [3668] СООБЩЕНИЕ:  получен запрос на быстрое выключение
2020-04-21 05:21:46.035 GMT [3668] СООБЩЕНИЕ:  прерывание всех активных транзакций
2020-04-21 05:21:46.035 GMT [5652] Р’РђР–РќРћ:  Р·Р°РєСЂС‹С‚РёРµ РїРѕРґРєР»СЋС‡РµРЅРёСЏ РїРѕ РєРѕРјР°РЅРґРµ Р°РґРјРёРЅРёСЃС‚СЂР°С‚РѕСЂР°
2020-04-21 05:21:46.038 GMT [3668] СООБЩЕНИЕ:  фоновый процесс "logical replication launcher" (PID 2400) завершился с кодом выхода 1
2020-04-21 05:21:46.042 GMT [6352] СООБЩЕНИЕ:  выключение
2020-04-21 05:21:46.056 GMT [3668] СООБЩЕНИЕ:  система БД выключена
