2020-04-10 04:01:35.131 GMT [7096] СООБЩЕНИЕ:  работа системы БД была прервана; последний момент работы: 2020-04-09 16:54:12 GMT
2020-04-10 04:01:35.586 GMT [7096] СООБЩЕНИЕ:  система БД была остановлена нештатно; производится автоматическое восстановление
2020-04-10 04:01:35.588 GMT [7096] СООБЩЕНИЕ:  запись REDO начинается со смещения 0/30D52B8
2020-04-10 04:01:35.588 GMT [7096] СООБЩЕНИЕ:  неверная длина записи по смещению 0/30D53A0: ожидалось 24, получено 0
2020-04-10 04:01:35.589 GMT [7096] СООБЩЕНИЕ:  записи REDO обработаны до смещения 0/30D5368
2020-04-10 04:01:35.611 GMT [6472] СООБЩЕНИЕ:  система БД готова принимать подключения
2020-04-10 04:15:12.916 GMT [7408] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2020-04-10 04:19:51.502 GMT [8100] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2020-04-10 04:21:41.700 GMT [13364] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2020-04-10 04:24:31.001 GMT [5648] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2020-04-10 08:57:26.275 GMT [2944] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2020-04-10 08:57:26.275 GMT [4528] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
